 Stream    Solid      Water      %   Yield   Rec.  Grade   Rec.  Grade   Rec.  Grade 
number     flow      flow    solids   of     of     of     of     of     of     of  
         tonne/hr   tonne/hr        Solids  sand   sand   Magn   Magn   Fe     Fe   
  3      19.50      10.50    64.99  19.50  11.44  45.77  48.06  54.24  48.06  39.27
  3      18.06       9.73    65.00  18.06  10.42  45.01  45.14  54.99  45.14  39.81
  3      16.61       8.95    65.00  16.61   9.42  44.25  42.09  55.75  42.09  40.36
  3      15.15       8.16    64.99  15.14   8.44  43.49  38.89  56.50  38.89  40.91
  3      13.66       7.36    64.99  13.66   7.48  42.73  35.56  57.27  35.56  41.47
  3      12.17       6.55    65.00  12.17   6.55  41.96  32.09  58.02  32.09  42.01
  3      10.66       5.74    65.00  10.66   5.63  41.20  28.47  58.78  28.47  42.56
  3       9.13       4.91    65.00   9.13   4.73  40.45  24.70  59.56  24.70  43.12
  3       7.58       4.08    65.00   7.58   3.86  39.70  20.78  60.32  20.78  43.67


  3      16.06       8.65    65.00  32.12  13.42  32.59  98.42  67.41  98.42  48.81
  3      15.34       8.26    65.00  30.68  11.78  29.95  97.70  70.04  97.70  50.71
  3      14.61       7.87    65.00  29.22  10.19  27.20  96.67  72.79  96.67  52.70
  3      13.85       7.46    64.99  27.70   8.65  24.37  95.23  75.64  95.23  54.76
  3      13.06       7.03    65.00  26.13   7.20  21.51  93.21  78.49  93.21  56.82
  3      12.24       6.59    65.00  24.47   5.86  18.68  90.47  81.34  90.47  58.89
  3      11.37       6.12    65.00  22.73   4.64  15.94  86.84  84.05  86.84  60.85
  3      10.44       5.62    65.00  20.87   3.58  13.38  82.17  86.61  82.17  62.70
  3       9.45       5.09    65.00  18.89   2.68  11.06  76.36  88.92  76.36  64.38
