 Derek1
Stream    Solid      Water      %   Yield   Rec.  Grade   Rec.  Grade   Rec.  Grade 
number     flow      flow    solids   of     of     of     of     of     of     of  
         s ton/day  gal/min         Solids  Chal   Chal   Gang   Gang   Cu     Cu   
   1   22095.24    9943.99    27.00 100.00 100.00   3.46 100.00  96.54 100.00   1.20
   2   28314.29    .13E+05    27.34 128.15 120.75   3.26 128.40  96.73 120.75   1.13
   3   23219.05    .10E+05    26.97 105.09  27.98   0.92 107.86  99.10  27.98   0.32
   4   21295.24    9601.58    26.96  96.38  16.20   0.58  99.23  99.40  16.20   0.20
   5    1931.43     865.84    27.08   8.74  11.78   4.66   8.63  95.36  11.78   1.61
   6    5090.48    2057.60    29.17  23.04  92.77  13.93  20.54  86.06  92.77   4.82
   7    7422.86    3347.95    26.96  33.59 125.51  12.93  30.30  87.07 125.51   4.47
   8    1205.71     767.40    20.73   5.46 104.76  66.43   1.90  33.55 104.76  22.98
   9    6217.14    2580.71    28.62  28.14  20.75   2.55  28.40  97.45  20.75   0.88
  10     805.05     342.72    28.11   3.64  83.81  79.58   0.77  20.42  83.81  27.54
  11     400.38     424.83    13.56   1.81  20.96  40.02   1.13  59.99  20.96  13.85

