PSD_PLOT
 1 
 1 
 0
 2
Data set  0001 0020 Mill feed                     
1.3840E-3     9.9000E-1
9.7860E-4     9.3530E-1
6.9200E-4     8.0370E-1
4.8930E-4     6.2020E-1
3.4600E-4     4.3760E-1
2.4470E-4     2.8980E-1
1.7300E-4     1.8410E-1
1.2230E-4     1.1400E-1
8.6500E-5     6.9400E-2
6.1160E-5     4.1900E-2
4.3250E-5     2.5100E-2
3.0580E-5     1.5000E-2
2.1620E-5     9.0000E-3
1.5290E-5     5.3000E-3
1.0810E-5     3.2000E-3
7.6450E-6     1.9000E-3
5.4060E-6     1.1000E-3
3.8230E-6     7.0000E-4
2.7030E-6     4.0000E-4
0.0000E+0     0.0000E+0
